Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,2.812999963760376,2.9560000896453857,2.803999900817871,2.9000000953674316,2.7181591987609863,25961714
2023-01-04,2.888000011444092,2.9600000381469727,2.859999895095825,2.9600000381469727,2.7743968963623047,21545782
2023-01-05,2.9709999561309814,3.013000011444092,2.934000015258789,2.9609999656677246,2.775334119796753,20396681
2023-01-06,2.9809999465942383,2.9809999465942383,2.9030001163482666,2.9649999141693115,2.779083251953125,12424766
2023-01-09,2.990000009536743,3.063999891281128,2.989000082015991,3.061000108718872,2.8690638542175293,22075527
2023-01-10,3.0739998817443848,3.0739998817443848,2.994999885559082,3.058000087738037,2.8662519454956055,15757210
2023-01-11,3.0739998817443848,3.1489999294281006,3.065999984741211,3.109999895095825,2.9149911403656006,28428933
2023-01-12,3.1480000019073486,3.197000026702881,3.118000030517578,3.197000026702881,2.9965360164642334,27088864
2023-01-13,3.2039999961853027,3.2119998931884766,3.0889999866485596,3.125,2.9290506839752197,23957847
2023-01-16,3.1500000953674316,3.191999912261963,3.138000011444092,3.177999973297119,2.978727340698242,12683446
2023-01-17,3.171999931335449,3.2160000801086426,3.131999969482422,3.187000036239624,2.9871630668640137,14825831
2023-01-18,3.2019999027252197,3.257999897003174,3.1549999713897705,3.187999963760376,2.988100290298462,24295787
2023-01-19,3.1700000762939453,3.1700000762939453,2.9820001125335693,2.9820001125335693,2.7950174808502197,32711114
2023-01-20,3.002000093460083,3.0940001010894775,2.990999937057495,3.0810000896453857,2.8878097534179688,22630040
2023-01-23,3.1630001068115234,3.1670000553131104,3.0840001106262207,3.1500000953674316,2.9524831771850586,21079964
2023-01-24,3.2100000381469727,3.2200000286102295,3.1389999389648438,3.184000015258789,2.98435115814209,28355520
2023-01-25,3.1700000762939453,3.1700000762939453,3.0399999618530273,3.0940001010894775,2.8999946117401123,17931925
2023-01-26,3.1470000743865967,3.191999912261963,3.13700008392334,3.171999931335449,2.9731035232543945,27236731
2023-01-27,3.200000047683716,3.234999895095825,3.1480000019073486,3.2100000381469727,3.008720874786377,26810173
2023-01-30,3.2100000381469727,3.2109999656677246,3.117000102996826,3.1489999294281006,2.9515457153320312,19560822
2023-01-31,3.1610000133514404,3.1649999618530273,3.053999900817871,3.127000093460083,2.9309253692626953,20073442
2023-02-01,3.1470000743865967,3.2360000610351562,3.1419999599456787,3.2079999446868896,3.0068461894989014,24055218
2023-02-02,3.240000009536743,3.3589999675750732,3.183000087738037,3.3519999980926514,3.1418168544769287,38118098
2023-02-03,3.3269999027252197,3.3440001010894775,3.260999917984009,3.315999984741211,3.108074188232422,20818250
2023-02-06,3.305000066757202,3.309999942779541,3.1610000133514404,3.200000047683716,2.9993479251861572,23183617
2023-02-07,3.194999933242798,3.246000051498413,3.1449999809265137,3.2330000400543213,3.0302786827087402,15517563
2023-02-08,3.25,3.2839999198913574,3.203000068664551,3.252000093460083,3.0480873584747314,22476901
2023-02-09,3.174999952316284,3.2200000286102295,2.7079999446868896,2.7730000019073486,2.5991222858428955,121991753
2023-02-10,2.7890000343322754,2.8919999599456787,2.700000047683716,2.865999937057495,2.686290979385376,51189151
2023-02-13,2.8610000610351562,2.864000082015991,2.7200000286102295,2.7290000915527344,2.5578813552856445,31712281
2023-02-14,2.75,2.819999933242798,2.7190001010894775,2.7829999923706055,2.6084952354431152,25250600
2023-02-15,2.7990000247955322,2.808000087738037,2.752000093460083,2.7939999103546143,2.6188056468963623,19032402
2023-02-16,2.8359999656677246,2.871000051498413,2.7269999980926514,2.7990000247955322,2.6234920024871826,31019782
2023-02-17,2.759999990463257,2.7809998989105225,2.7239999771118164,2.7300000190734863,2.5588185787200928,23488252
2023-02-20,2.7799999713897705,2.8259999752044678,2.7679998874664307,2.7709999084472656,2.59724760055542,18197647
2023-02-21,2.739000082015991,2.743000030517578,2.5220000743865967,2.6570000648498535,2.490396022796631,53097376
2023-02-22,2.700000047683716,2.7360000610351562,2.6570000648498535,2.7190001010894775,2.548508405685425,21511445
2023-02-23,2.740999937057495,2.812999963760376,2.734999895095825,2.7750000953674316,2.600996971130371,22145918
2023-02-24,2.7730000019073486,2.802999973297119,2.749000072479248,2.7699999809265137,2.5963103771209717,14421238
2023-02-27,2.799999952316284,2.8559999465942383,2.7880001068115234,2.8350000381469727,2.6572349071502686,17651981
2023-02-28,2.8359999656677246,2.8580000400543213,2.7679998874664307,2.8519999980926514,2.673168897628784,22648590
2023-03-01,2.8610000610351562,2.86299991607666,2.746999979019165,2.76200008392334,2.5888121128082275,17989946
2023-03-02,2.756999969482422,2.756999969482422,2.496999979019165,2.569999933242798,2.408851146697998,57468592
2023-03-03,2.5980000495910645,2.7839999198913574,2.5910000801086426,2.7839999198913574,2.6094326972961426,32118539
2023-03-06,2.7200000286102295,2.7839999198913574,2.7049999237060547,2.75600004196167,2.58318829536438,17443773
2023-03-07,2.7330000400543213,2.7760000228881836,2.690000057220459,2.694999933242798,2.526013135910034,13815111
2023-03-08,2.678999900817871,2.700000047683716,2.632999897003174,2.674999952316284,2.5072672367095947,17003040
2023-03-09,2.621999979019165,2.6470000743865967,2.503999948501587,2.622999906539917,2.4585278034210205,31861893
2023-03-10,2.509999990463257,2.552000045776367,2.4079999923706055,2.496000051498413,2.339491367340088,55267060
2023-03-13,2.5169999599456787,2.5169999599456787,2.115000009536743,2.256999969482422,2.1154775619506836,112577944
2023-03-14,2.1700000762939453,2.302999973297119,2.119999885559082,2.240000009536743,2.099543571472168,78817260
2023-03-15,2.2799999713897705,2.2899999618530273,1.5499999523162842,1.6970000267028809,1.5905916690826416,301226020
2023-03-16,2.25,2.25,1.899999976158142,2.0220000743865967,1.895213007926941,218643035
2023-03-17,2.049999952316284,2.0869998931884766,1.7669999599456787,1.8600000143051147,1.7433710098266602,123994373
