Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,232.1699981689453,235.0,221.64999389648438,225.22000122070312,225.22000122070312,764645
2023-01-04,230.10000610351562,241.63250732421875,228.7100067138672,240.05999755859375,240.05999755859375,854687
2023-01-05,235.7100067138672,237.38999938964844,222.41000366210938,232.58999633789062,232.58999633789062,985262
2023-01-06,237.1199951171875,248.19000244140625,231.42999267578125,245.7899932861328,245.7899932861328,1017532
2023-01-09,247.9600067138672,254.94000244140625,244.52999877929688,249.42999267578125,249.42999267578125,1102929
2023-01-10,246.4600067138672,253.46499633789062,245.1999969482422,252.67999267578125,252.67999267578125,547669
2023-01-11,255.30999755859375,257.5199890136719,251.3000030517578,254.99000549316406,254.99000549316406,745718
2023-01-12,259.19000244140625,261.260009765625,250.47999572753906,253.82000732421875,253.82000732421875,843449
2023-01-13,248.05999755859375,255.64999389648438,243.1699981689453,252.72999572753906,252.72999572753906,1100337
2023-01-17,254.0800018310547,261.45001220703125,249.18499755859375,259.989990234375,259.989990234375,898463
2023-01-18,258.9599914550781,265.2850036621094,251.5500030517578,251.97999572753906,251.97999572753906,997496
2023-01-19,246.0500030517578,254.89999389648438,242.52499389648438,250.0399932861328,250.0399932861328,1576560
2023-01-20,286.6600036621094,305.67498779296875,274.30499267578125,291.44000244140625,291.44000244140625,3090876
2023-01-23,294.7300109863281,305.489990234375,290.1099853515625,298.69000244140625,298.69000244140625,1810326
2023-01-24,294.6400146484375,298.9549865722656,288.2799987792969,288.3500061035156,288.3500061035156,1053854
2023-01-25,282.8999938964844,295.3299865722656,278.8500061035156,294.760009765625,294.760009765625,833787
2023-01-26,300.0,301.989990234375,291.7799987792969,295.6199951171875,295.6199951171875,666697
2023-01-27,293.6300048828125,305.1199035644531,292.4800109863281,302.44000244140625,302.44000244140625,664906
2023-01-30,295.9200134277344,302.3299865722656,290.489990234375,293.9599914550781,293.9599914550781,634982
2023-01-31,293.9599914550781,302.57000732421875,290.4800109863281,302.44000244140625,302.44000244140625,738529
2023-02-01,300.69000244140625,318.5400085449219,298.79998779296875,313.3800048828125,313.3800048828125,1177025
2023-02-02,322.9700012207031,348.05999755859375,321.6499938964844,333.5,333.5,2127346
2023-02-03,320.7699890136719,335.0799865722656,315.7300109863281,323.2099914550781,323.2099914550781,903745
2023-02-06,316.3999938964844,320.9700012207031,313.5289001464844,316.1300048828125,316.1300048828125,607808
2023-02-07,312.8900146484375,324.4599914550781,309.3500061035156,323.3500061035156,323.3500061035156,568606
2023-02-08,322.8500061035156,325.9100036621094,319.0400085449219,320.3999938964844,320.3999938964844,500533
2023-02-09,324.92999267578125,326.1499938964844,313.54998779296875,315.8900146484375,315.8900146484375,746111
2023-02-10,310.5799865722656,316.4800109863281,308.0899963378906,310.0299987792969,310.0299987792969,604985
2023-02-13,308.70001220703125,311.70001220703125,304.4612121582031,311.55999755859375,311.55999755859375,558686
2023-02-14,309.79998779296875,317.5,303.0899963378906,310.7699890136719,310.7699890136719,641970
2023-02-15,308.9599914550781,318.260009765625,307.2699890136719,316.75,316.75,477471
2023-02-16,308.3699951171875,310.6000061035156,301.82000732421875,301.92999267578125,301.92999267578125,450039
2023-02-17,298.42999267578125,299.9599914550781,286.04998779296875,292.7900085449219,292.7900085449219,1338677
2023-02-21,287.25,290.2699890136719,280.0801086425781,285.7099914550781,285.7099914550781,586270
2023-02-22,285.4700012207031,291.2099914550781,280.79998779296875,287.54998779296875,287.54998779296875,855058
2023-02-23,290.5899963378906,291.29998779296875,282.04998779296875,289.010009765625,289.010009765625,619173
2023-02-24,281.0,284.5162048339844,278.3800048828125,282.9200134277344,282.9200134277344,649155
2023-02-27,287.5899963378906,289.5299987792969,283.9599914550781,285.92999267578125,285.92999267578125,583891
2023-02-28,288.5,293.6600036621094,286.0899963378906,288.1099853515625,288.1099853515625,573215
2023-03-01,284.6400146484375,286.9700012207031,280.0899963378906,283.0299987792969,283.0299987792969,393543
2023-03-02,276.3900146484375,278.3299865722656,269.42498779296875,277.1700134277344,277.1700134277344,746564
2023-03-03,280.3399963378906,285.5,277.8599853515625,284.4100036621094,284.4100036621094,357199
2023-03-06,284.8299865722656,286.5199890136719,280.6400146484375,283.0400085449219,283.0400085449219,542443
2023-03-07,280.3900146484375,283.0799865722656,267.07000732421875,267.3900146484375,267.3900146484375,830518
